2025-12-23T07:01:46.627Z [INFO]: [STATUS: 401] USER_INFO: EMAIL:- newuser1@yopmail.com - REF_NO:- AXR_59064d4b-7f69-4671-8611-e5001338abd5 | IP: 49.43.105.102 | Location: Public Network | GET /api/v1/getUserProfile?email=newuser1@yopmail.com&reference_number=AXR_59064d4b-7f69-4671-8611-e5001338abd5 | 1.76 ms
2025-12-23T07:30:35.933Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/refreshAccessToken | 8.00 ms
2025-12-23T07:30:36.561Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/refreshAccessToken | 7.94 ms
2025-12-23T07:30:36.686Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/refreshAccessToken | 7.81 ms
2025-12-23T07:31:30.432Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/refreshAccessToken | 11.63 ms
2025-12-23T07:32:54.264Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- mads.galsgaard@gmail.com - REF_NO:- AXS_dace20d9-062a-4aa1-8a4f-a85c468f1dcb | IP: 41.90.172.85 | Location: Public Network | POST /api/v1/refreshAccessToken | 9.33 ms
2025-12-23T07:34:05.646Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- amit@areax.ai - REF_NO:- AXR_74f7b17e-72b0-4b64-8d49-cd3ebb037190 | IP: 152.59.84.162 | Location: Public Network | POST /api/v1/refreshAccessToken | 10.09 ms
2025-12-23T07:34:13.702Z [INFO]: [STATUS: 404] USER_INFO: EMAIL:- amit@areax.ai - REF_NO:- AXR_74f7b17e-72b0-4b64-8d49-cd3ebb037190 | IP: 152.59.84.162 | Location: Public Network | POST /api/v1/tiktokTokenExist | 21.15 ms
2025-12-23T07:34:13.724Z [INFO]: [STATUS: 404] USER_INFO: EMAIL:- amit@areax.ai - REF_NO:- AXR_74f7b17e-72b0-4b64-8d49-cd3ebb037190 | IP: 152.59.84.162 | Location: Public Network | POST /api/v1/instagramTokenExist | 40.18 ms
2025-12-23T07:39:15.610Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/instagramTokenExist | 120.75 ms
2025-12-23T07:39:15.643Z [INFO]: [STATUS: 404] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/tiktokTokenExist | 9.98 ms
2025-12-23T07:39:20.557Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/updateUserLocation | 8.60 ms
2025-12-23T07:39:21.012Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | PATCH /api/v1/updateUserProfile | 17.25 ms
2025-12-23T07:39:49.403Z [INFO]: [STATUS: 404] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/tiktokTokenExist | 8.73 ms
2025-12-23T07:39:49.496Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/instagramTokenExist | 130.21 ms
2025-12-23T07:39:55.833Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/updateUserLocation | 7.04 ms
2025-12-23T07:39:56.248Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | PATCH /api/v1/updateUserProfile | 12.51 ms
2025-12-23T07:41:11.978Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- amit@areax.ai - REF_NO:- AXR_74f7b17e-72b0-4b64-8d49-cd3ebb037190 | IP: 152.59.84.101 | Location: Public Network | POST /api/v1/refreshAccessToken | 12.40 ms
2025-12-23T07:41:56.490Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 103.205.112.183 | Location: Public Network | POST /api/v1/refreshAccessToken | 13.51 ms
2025-12-23T07:43:28.959Z [INFO]: [STATUS: 404] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 103.205.112.165 | Location: Public Network | POST /api/v1/tiktokTokenExist | 12.16 ms
2025-12-23T07:43:29.077Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 103.205.112.165 | Location: Public Network | POST /api/v1/instagramTokenExist | 100.42 ms
2025-12-23T07:47:20.268Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/refreshAccessToken | 11.06 ms
2025-12-23T07:47:30.346Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/updateUserLocation | 12.73 ms
2025-12-23T07:47:30.848Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | PATCH /api/v1/updateUserProfile | 16.43 ms
2025-12-23T07:59:32.490Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | POST /api/v1/updateUserLocation | 12.15 ms
2025-12-23T07:59:32.930Z [INFO]: [STATUS: 200] USER_INFO: EMAIL:- vikas@yopmail.com - REF_NO:- AXR_9c0801e2-5d74-4eef-bde2-91ec3d4ffc59 | IP: 106.78.30.163 | Location: Public Network | PATCH /api/v1/updateUserProfile | 11.92 ms
